f_id,item,veg_or_non_veg
fd565871,Chicken Malai Tikka [9 Pieces],Non-veg
fd565872,Chicken Pahadi Kebab [9 Pieces],Non-veg
fd565873,Fish Tandoori [5 Pieces],Non-veg
fd565874,Chicken Mughlai Kabab [9 Pieces],Non-veg
fd565875,Chicken Lahori Kabab [9 Pieces],Non-veg
fd565876,Chicken Achari Kabab [9 Pieces],Non-veg
fd565877,Chicken Garlic Tikka Kabab [9 Pices],Non-veg
fd565878,Mutton Seek Kabab [9 Pices],Non-veg
fd565888,Veg Lollipop (8pc),Veg
fd565889,Paneer Lollipop (8pc),Veg
fd565895,Chana Paneer Chilli,Veg
fd565908,Egg Fried Rice (3 Egg),Non-veg
fd565909,Egg Chilli [3 Eggs],Non-veg
fd565910,Egg 65 [3 Eggs],Non-veg
fd565911,Egg Singapuri [3 Eggs],Non-veg
fd565916,Gravy Roti,Veg
fd565918,Butter Makki Roti,Veg
fd565928,Mutton Cheese Kulcha,Non-veg
fd565929,Chicken Cheese Kulcha,Non-veg
fd565930,Egg Cheese Kulcha,Non-veg
fd565947,Butter (100 gms),Veg
fd565948,Buttermilk (Small),Veg
fd565949,Buttermilk (Large),Veg
fd565951,Patiala Lassi (Small),Veg
fd565962,Nutrila(soyabin) Masala,Veg
fd565969,Paneer warhadi,Veg
fd565971,Basmati Veg Biryani,Veg
fd565972,Aloo Gobi + 3 Butter Roti + Basmati Kichadi,Veg
fd565973,Dal Tadka + 3 Butter Roti + Basmati Veg Biryani,Veg
fd565974,Paneer Chilli + Sweet Lassi 250 ml,Veg
fd565975,Veg Manchurian + Sweet Lassi 250 ml,Veg
fd565976,Aloo Paratha + Sweet Lassi 250 ml,Veg
fd565977,Gobi Paratha + Sweet Lassi 250 ml,Veg
fd565978,Basmati Butter Masala Khichdi + Sweet Lassi 250 ml,Veg
fd565981,Dal Jeera Fry,Veg
fd565998,Zhunka,Veg
fd566004,Veg Chopsy ( Curry ),Veg
fd566006,Veg Dewani Handi,Veg
fd566017,Paneer Dewani Handi,Veg
fd566035,Paneer Jarda,Veg
fd566036,Kanhiaya Special,Veg
fd566045,Butter Jawari Roti,Veg
fd566050,Basmati Kichadi,Veg
fd566051,Basmati Butter Kichadi,Veg
fd566053,Basmati Veg Pulao,Veg
fd566054,Basmati Kashmiri Pulao,Veg
fd566056,Basmati Butter Masala Khichdi,Veg
fd566058,Dahi Rabdi,Veg
fd566061,Aloo Methi DRY,Veg
fd566063,Methi Lahsuni,Veg
fd566076,Dahi 200g,Veg
fd566080,Special Chockle Barfi,Veg
fd566081,Desi Ghee Mohanthal,Veg
fd566085,Gai Dhudh Peda,Veg
fd566086,Mysoor Pakh,Veg
fd566091,Ice Cream Barfi,Veg
fd566092,Special Chocolate Barfi,Veg
fd566093,Kasata Barfi,Veg
fd566094,Badam Pista Barfi,Veg
fd566095,Gulab Pakh,Veg
fd566096,Khopra Barfi,Veg
fd566099,Gulkand Barfi,Veg
fd566100,Angoor,Veg
fd566101,Motichoor,Veg
fd566103,Special Faradi Chiwda,Veg
fd566108,Khari Boondhi,Veg
fd566109,Mix Chiwda,Veg
fd566110,Chiwda,Veg
fd566112,Naylon Gathiya,Veg
fd566114,Faradhi Chiwda,Veg
fd566116,Nadhiyadi Bhoosa,Veg
fd566118,Chakli,Veg
fd566122,Zero Number Sev,Veg
fd566123,Special Mix Chiwda,Veg
fd566124,Pakka Chiwda,Veg
fd566125,Sakkar Para,Veg
fd566126,Sabji Sev,Veg
fd566131,Paneer Nawabi Maggie,Veg
fd566132,Shezwan Cheesy Paneer Maggie,Veg
fd566134,Schezwan Mystery Pizza,Veg
fd566136,Cheesy Olive Pizza,Veg
fd566138,Mexican Twist Pizza,Veg
fd566141,Cheese Bomb Paneer Pizza,Veg
fd566142,Patty Burger,Veg
fd566145,Schezwan Mystery Burger,Veg
fd566147,Paneer Classic Burger,Veg
fd566150,Paneer Barbeque Cheese Grilled Burger,Veg
fd566152,Cheesed Shots,Veg
fd566159,Paneer Tikka Sandwich Pizza,Veg
fd566160,Corn Veg Sandwich Pizza,Veg
fd566161,Corn & Paneer Sandwich Pizza,Veg
fd566162,Schezwan Paneer Sandwich Pizza,Veg
fd566163,Paneer Barbeque Sandwich Pizza,Veg
fd566167,Paneer Grilled,Veg
fd566168,Schezwan Paneer Cheesy,Veg
fd566169,Choco Blast Sandwich,Veg
fd566170,Cheese Bomb Sandwich,Veg
fd566171,Pineapple Shake [Large],Veg
fd566172,Strawberry Shake [Large],Veg
fd566173,Chocolate Shake [Large],Veg
fd566174,Butterscotch Shake [Large],Veg
fd566175,Black Current Shake [Large],Veg
fd566176,Vanilla Shake [Large],Veg
fd566177,Thick Brownie Shake,Veg
fd566179,Barbon Shake,Veg
fd566185,Choc Cold Coffee With Cream,Veg
fd566186,Veg Gharguti Thali,Veg
fd566188,Pithal Bhakar,Veg
fd566189,Dahi Pithal,Veg
fd566200,American Chopcy,Veg
fd566204,Better Pavbhaji,Veg
fd566207,Cut Pice Dosa,Veg
fd566212,Tomato Uttappa,Veg
fd566213,Mix Uttappa,Veg
fd566219,Corn-Palak,Veg
fd566221,Alloo Tikki Wraps,Veg
fd566222,Corn-Palak Wraps,Veg
fd566224,Shezwan Wraps,Veg
fd566225,Veg Pasta (Red Souce),Veg
fd566226,Love Sandwich (Veg Chees SW),Veg
fd566227,Sexy Sandwich (Golden Corn SW),Veg
fd566228,Break-up Sandwich (Aloo Tikki SW),Veg
fd566229,Committed Sandwich (Tandoori Paneer SW),Veg
fd566230,"Move-on Sandwich (Veg, Mayo)",Veg
fd566231,Excited Sandwich (Dark Chocolate SW),Veg
fd566232,Last Seen Sandwich (Peri Peri SW),Veg
fd566233,Suicide Sandwich (Shezwan SW),Veg
fd566234,"Patch-up Sandwich(CheesyJalipino Sauce,paneer)",Veg
fd566237,Spicy Shezwan,Veg
fd566245,Shezwan Pizza,Veg
fd566249,Panner Burger Burger,Veg
fd566250,Plain Pedha,Veg
fd566251,Mathura Pedha,Veg
fd566256,Kesar Pedha,Veg
fd566257,Choco Pista Extra Premium Cake (500gm),Veg
fd566258,Caramal Chocochips Extra Premium Cake (500gm),Veg
fd566259,Cadburry Chocolate Extra Premium Cake (500gm),Veg
fd566260,White Marble Extra Premium Cake (500gm),Veg
fd566261,Hazlenut Extra Premium Cake (500gm),Veg
fd566262,Custered Apple Extra Premium Cake (500gm),Veg
fd566263,Green Apple Extra Premium Cakee (500gm),Veg
fd566264,Green Apple Extra Premium Cake (500gm),Veg
fd566265,Honey Almond Extra Premium Cake (500gm),Veg
fd566266,Honey Almond Premium Cake (500gm),Veg
fd566267,Honey Premium Cake (500gm),Veg
fd566268,Almond Premium Cake (500gm),Veg
fd566269,Chocolate Oreo Premium Cake (500gm),Veg
fd566270,Lemon Premium Cake (500gm),Veg
fd566271,Coconut Premium Cake (500gm),Veg
fd566272,Chocolate Truffle Premium Cake (500gm),Veg
fd566273,Coffee Premium Cake (500gm),Veg
fd566274,Milk Chocolate Premium Cake (500gm),Veg
fd566275,Caramal Premium Cake (500gm),Veg
fd566276,Kiwi Cake (500gm),Veg
fd566279,Butterscotch Cake (500gm),Veg
fd566280,Choco Chips Cake (500gm),Veg
fd566281,Choco Vanila Cake (500gm),Veg
fd566282,Strawberry Cake (500gm),Veg
fd566283,Blueberry Cake (500gm),Veg
fd566284,Pineapple Cake (500gm),Veg
fd566285,Mango Cake (500gm),Veg
fd566286,Vanila Cake (500gm),Veg
fd566287,Mix Fruit Cake (500gm),Veg
fd566288,Black Current Cake (500gm),Veg
fd566289,Litchi Cake (500gm),Veg
fd566290,Orange Cake (500gm),Veg
fd566291,White Forest Cake (250gm),Veg
fd566292,Black Forest Cake (250gm),Veg
fd566293,Butterscotch Cake (250gm),Veg
fd566294,Choco Chips Cake (250gm),Veg
fd566295,Choco Vanila Cake (250gm),Veg
fd566297,Blueberry Cake (250gm),Veg
fd566299,Mango Cake (250gm),Veg
fd566300,Vanila Cake (250gm),Veg
fd566301,Mix Fruit Cake (250gm),Veg
fd566302,Black Current Cake (250gm),Veg
fd566303,Litchi Cake (250gm),Veg
fd566304,Orange Cake (250gm),Veg
fd566305,Kiwi Cake (250gm),Veg
fd566308,Choco Chip Shake(300),Veg
fd566309,5 Star Shake(300),Veg
fd566310,Kitkat Shake (300ml),Veg
fd566311,Oreo Shake(300),Veg
fd566312,Chocolate Shake (300),Veg
fd566313,Corn Plain Maggi,Veg
fd566314,Paneer Spicy Maggi,Veg
fd566315,Spice Maggi,Veg
fd566316,Paneer Plain Maggi,Veg
fd566318,Corn Masala Maggi,Veg
fd566321,7' Veg Loaded,Veg
fd566322,7' Farmhouse Pizza,Veg
fd566324,7' Paneer Corn Pizza,Veg
fd566325,7' Fresh Veggi Corn Pizza,Veg
fd566329,7' Capsicum & Cheese Pizza,Veg
fd566330,7' Tomato & Cheese,Veg
fd566331,7' Onion & Cheese Pizza,Veg
fd566332,7' Golden Corn & Cheese Pizza,Veg
fd566334,7' (2 In 1 Pizza),Veg
fd566336,Aloo Tikki Cheese Patty Burger,Veg
fd566337,Aloo Tikki Double Patty Burger,Veg
fd566339,Veg Cheese Patty Burger,Veg
fd566340,Mixfruit  Cake (500 Gms),Veg
fd566342,Chocolate Treat Cake (500 Gms),Veg
fd566343,Butterscotch Cake (250 Gms),Veg
fd566345,Fresh Pineapple Pastry,Non-veg
fd566347,Fresh Pineapple Cake (500 gms),Veg
fd566348,Mixfruit  Cake (500 gms),Veg
fd566353,Choco Sizzling Cake (500 gms),Veg
fd566354,Choco Temptation  Cake (500 gms),Veg
fd566355,Chocolate Treat Cake (500 gms),Veg
fd566357,Oreo  Cake (500 gms),Veg
fd566358,Choco Almont Cake (500 gms),Veg
fd566359,Fresh Pineapple Cake (250 gms),Veg
fd566361,Black Forest Cake (250 gms),Veg
fd566362,Chocolate Cake Cake (250 gms),Veg
fd566372,Paneer Bhuna Tawa Masala,Veg
fd566374,Paneer Camling,Veg
fd566382,Basket of Roti,Veg
fd566386,Paneer Lucknowi Masala,Veg
fd566389,Pathani Kofta,Veg
fd566396,Lemon Coriander with S/C Soup,Veg
fd566404,Dal Palak Shorba,Veg
fd566416,Vegetable Russian Salad,Veg
fd566425,Veg Manchurian Sizzler,Veg
fd566426,Paneer Cheese Sizzler,Veg
fd566428,Sauslik Sizzler,Veg
fd566430,Adraki Aloo Gobi,Veg
fd566433,Aloo Kali Mirch,Veg
fd566438,Baigan Rai Patiala,Veg
fd566442,Panjabi Dum Aloo,Veg
fd566457,Paneer Lahori Masala,Veg
fd566463,Kaju Singapuri,Veg
fd566468,Paneer Swad,Veg
fd566469,Paneer Kasturi Masala,Veg
fd566471,Malai Kofta (Brown),Veg
fd566475,Rasbhari Kofta,Veg
fd566476,Paneer Angoori Kofta,Veg
fd566492,China 65,Veg
fd566500,Paneer Honey,Veg
fd566501,Baby corn Sticks,Veg
fd566504,CHANA CHILLY,Veg
fd566505,Fresh Fry/finger Chips,Veg
fd566508,Veg Corn Kebab,Veg
fd566510,Cheese P/A Cherry,Veg
fd566511,Cashew nut Fry,Veg
fd566513,Cheese Ball in Hot Garlic Sauce,Veg
fd566526,Patodi Varadi,Veg
fd566528,Veg Varadi Masala,Veg
fd566529,Aloo Varadi,Veg
fd566530,Baigan Varadi,Veg
fd566532,Veg Chop Curry (Cutlet Type),Veg
fd566533,Veg Kebab Curry,Veg
fd566536,Mushroom Varadi,Veg
fd566537,Paneer Bhurji Varadi,Veg
fd566557,Tandoori Roti Chakki Atta,Veg
fd566569,Paneer Kulcha with Curd,Veg
fd566570,Stuffed Kulcha with Curd,Veg
fd566572,Stuffed Roghni Naan,Veg
fd566574,Basket of Paratha,Veg
fd566586,House Special Fried Rice,Veg
fd566588,Varhadi Mutton Curry Handi,Non-veg
fd566589,Varhadi Chicken Curry Handi,Non-veg
fd566593,[Half] Mutton Curry + 5 Chapati,Non-veg
fd566594,[Half] Chicken Curry + 5 Chapati,Non-veg
fd566595,[Half] Egg Fry Curry + 5 Chapati,Non-veg
fd566596,Varhadi Mutton Curry,Non-veg
fd566598,Varhadi Chicken Curry,Non-veg
fd566603,Boiled Eggs [2pcs],Non-veg
fd566604,Patoli Curry,Veg
fd566607,Dupoli,Veg
fd566608,Jwari Bhakar,Veg
fd566609,Baajri Bhakar,Veg
fd566612,Mutton Rice [Full],Non-veg
fd566625,Jamuna Special Pizza,Veg
fd566627,Jamna's Special Pizza [8 Inches],Veg
fd566628,Paneer Mushroom Cheese Pizza [8 Inches],Veg
fd566629,Mushroom Cheese Pizza [8 Inches],Veg
fd566630,Paneer Cheese Pizza [8 Inches],Veg
fd566632,Golden Corn Pizza [8 Inches],Veg
fd566633,Schezwan Pizza [8 Inches],Veg
fd566635,Vegetable Pizza [8 Inches],Veg
fd566638,Vegetable Double Cheese Grilled Sandwich,Veg
fd566639,Veg Malai Grilled Sandwich,Veg
fd566641,Veg Paneer Cheese Grilled Sandwich,Veg
fd566642,Veg Paneer Double Cheese Grilled Sandwich,Veg
fd566643,Veg Paneer Malai Grilled Sandwich,Veg
fd566646,Masala Double Cheese Grilled Sandwich,Veg
fd566647,Masala Malai Grilled Sandwich,Veg
fd566648,Masala Paneer Grilled Sandwich,Veg
fd566651,Malai Chutney Grilled Sandwich,Veg
fd566653,Pizza Extra Cheese Grilled Sandwich,Veg
fd566654,Mini Tandoori Cheese Grilled Sandwich,Veg
fd566655,Mini Tandoori Malai Grilled Sandwich,Veg
fd566656,Jamnas Meow Cheese Grilled Sandwich,Veg
fd566658,Jamna's Spicy  Delight Grilled Sandwich,Veg
fd566659,Mini Mexican Cheese Grilled Sandwich,Veg
fd566660,Mexican Pizza Grilled Sandwich,Veg
fd566661,Butter Toast Grilled Sandwich,Veg
fd566662,Butter Cheese Grilled Sandwich,Veg
fd566664,Popeyes Grilled Sandwich,Veg
fd566665,Bombay Kaccha Grilled Sandwich,Veg
fd566666,Mushroom Paneer Cheese Grilled Sandwich,Veg
fd566667,Paneer Tikka Cheese Grilled Sandwich,Veg
fd566669,Jain Kaccha Sandwich,Veg
fd566671,Jain Veg Paneer Sandwich,Veg
fd566672,Jain Veg Paneer Cheese Sandwich,Veg
fd566674,Chocolate Toast Sweet Sandwich,Veg
fd566675,Jam Chocolate Sweet Sandwich,Veg
fd566676,Jam Toast Sweet Sandwich,Veg
fd566677,Jam Malai Sweet Sandwich,Veg
fd566678,Jamnas Sweet Delight Sweet Sandwich,Veg
fd566679,Jam Cheese Sweet Sandwich,Veg
fd566680,Raspberry Sweet Sandwich,Veg
fd566681,Mini Club Sandwich,Veg
fd566687,Jamnas Special Club Sandwich,Veg
fd566696,Cheesling Double Cheese Chips,Veg
fd566704,Jamnas Special Maggi,Veg
fd566705,White Baked Penne Pasta,Veg
fd566706,White Creamy Penne Pasta,Veg
fd566708,Vegetable Penne Pasta,Veg
fd566722,White Creamy Penne Pasta + Mango shake 250 ml,Veg
fd566723,Paneer Tikka Cheese Grilled Sandwich + vanilla shake 250 ml,Veg
fd566724,Corn Cheese Grilled Sandwich + Mango shake 250 ml,Veg
fd566725,Penne Pasta Red Sauce + Mango shake 200 ml,Veg
fd566726,Vegetable Penne Pasta + Mango shake 250 ml,Veg
fd566728,Noodles Maggi,Veg
fd566744,Corn Masala Maggie,Veg
fd566772,Veggie Double Patty Burger,Veg
fd566773,Aloo Tikki Patty Burger,Veg
fd566777,Veggie Cheese Patty Burger,Veg
fd566778,Corn Pizza Grilled Sandwich,Veg
fd566779,Paneer Pizza Grilled Sandwich,Veg
fd566789,7' Fresh Veggie Corn Pizza,Veg
fd566797,7' Extra Cheese Margherita,Veg
fd566799,7' Paneer Chilli Pizza,Veg
fd566821,Milk Sev Bhaji,Veg
fd566830,Veg Manchurian Semi Gravy,Veg
fd566831,Paneer Manchurian Semi Gravy,Veg
fd566853,Yogiraj Special Biryani,Veg
fd566867,Kodali Pakora,Veg
fd566869,Vada Sambar [2pieces],Veg
fd566870,Big Masala Dosa,Veg
fd566880,Family Green Salad,Veg
fd566885,Gulacha Chaha,Veg
fd566889,Palak Vada,Veg
fd566890,Moti Mahal Mini Non Vegetarian Combo,Non-veg
fd566891,Chinese Non Veg Combo 3,Non-veg
fd566892,Chinese Non Veg Combo 4,Non-veg
fd566893,Chinese Veg Combo 1,Veg
fd566894,Chinese Veg Combo 2,Veg
fd566895,Moti Mahal Special Vegetarian Combo,Veg
fd566896,Moti Mahal Mini Vegetarian Combo,Veg
fd566897,Moti Mahal Special Non Vegetarian Combo,Non-veg
fd566908,Kali Mirch Chicken Shorba,Non-veg
fd566910,Veg Haryali Kebab,Veg
fd566911,Veg Sabz Seekh Kebab,Veg
fd566915,Dahi Ke Sholay,Veg
fd566916,Soya Chaap Shashlik,Veg
fd566918,Mushroom Pudina,Veg
fd566919,Shikampuri Kebab,Veg
fd566920,Veg Gilafi Seekh Kebab,Veg
fd566921,Soya Chaap Pudina,Veg
fd566923,Corn Cheese Seekh Kabab,Veg
fd566924,Stuffed Crunchy Mushrooms,Veg
fd566927,Tandoori Veg Mix Grill,Veg
fd566931,Papdi Paneer Tikka,Veg
fd566932,Panner Tikka Mirchwala,Veg
fd566933,Paneer Kastoori Tikka,Veg
fd566936,Chicken Tangri Kali Mirch,Non-veg
fd566937,Tandoori Chicken [mm Original],Non-veg
fd566938,Stuffed Chicken Tangri Kebab,Non-veg
fd566939,Chicken Tangri Achari,Non-veg
fd566941,Tandoori Non Veg Mixed Grill,Non-veg
fd566943,Murg Kalmi Kebab [chefs Special],Non-veg
fd566944,Chicken Parwaji [chicken Wings],Non-veg
fd566951,Chicken Lahsooni,Non-veg
fd566952,Chicken Gilafi Kebab,Non-veg
fd566953,Signature Tandoori Chicken Tikka,Non-veg
fd566956,Mutton Gilafi Kebab,Non-veg
fd566957,Mutton Haye Tauba,Non-veg
fd566960,Noorani Kebab,Non-veg
fd566962,Tandoori Jumbo Prawns Tikka,Non-veg
fd566966,Jungli Fish Tikka,Non-veg
fd566967,Vegetable Rajasthani Kofta,Veg
fd566971,Hare Matar Ka Nimona,Veg
fd566976,Vegetable Deewani Handi,Veg
fd566978,Makki Malai,Veg
fd566980,Soya Chaap Rogan Josh,Veg
fd566982,Dal Makhani [chefs Special],Veg
fd566983,Shola Shabhnam,Veg
fd566986,Paneer Makhani [chefs Special],Veg
fd566989,Palak Paneer Chamanwala,Veg
fd567003,Varadi Chicken Curry,Non-veg
fd567007,Butter Chicken [our Speciality],Non-veg
fd567012,Egg Kheema Masala,Non-veg
fd567018,Varadi Mutton Curry,Non-veg
fd567020,Punjabi Mutton,Non-veg
fd567022,Tava Fish Tikka Masala,Non-veg
fd567026,Vegetable Hyderabadi Biryani,Veg
fd567035,Crispy Soya In Choice Of Sauce,Veg
fd567037,Crispy Lotus Stem In Chilli Pepper,Veg
fd567038,Stir Fried Veg In Butter And Oregano,Veg
fd567040,Roasted Paneer In Choice Of Sauce,Veg
fd567041,Crispy Babycorn In Choice Of Sauce,Veg
fd567042,Butter Tossed Exotic Vegetables,Veg
fd567043,Butter Mushroom In Salt And Pepper,Veg
fd567044,Crispy Soya Chilli,Veg
fd567046,Assorted Toasted Greens In Choice Of Sauce,Veg
fd567048,Cocktail Spring Roll,Veg
fd567052,Crispy Corn In Choice Of Sauce,Veg
fd567056,Barbeque Chicken Winglets,Non-veg
fd567059,Pomfret In Choice Of Sauce,Non-veg
fd567064,Crsipy Egg In Choice Of Sauce,Non-veg
fd567067,Chicken Dimsums,Non-veg
fd567068,Diced Chicken In Choice Of Sauce [appetizers],Non-veg
fd567070,Soya In Choice Of Sauce,Veg
fd567071,Veg In Choice Of Gravy,Veg
fd567072,Mushroom & Broccoli In Choice Of Sauce,Veg
fd567075,Paneer In Choice Gravy,Veg
fd567077,Diced Chicken In Choice Of Sauce,Non-veg
fd567078,Mangolia Chicken,Non-veg
fd567080,Chicken In Choice Of Gravy,Non-veg
fd567081,Fish In Choice Of Gravy,Non-veg
fd567082,Prawns In Choice Of Gravy,Non-veg
fd567083,Pomfret In Garlic Soya Sauce,Non-veg
fd567084,Veg Schezwan Chilli Fried Rice,Veg
fd567093,Non Veg Honk Kong Fried Rice,Non-veg
fd567094,Non Veg Mix Grill Fried Rice,Non-veg
fd567107,Chicken Shangai Noodles,Non-veg
fd567109,Chicken Roasted Garlic Noodles,Non-veg
fd567113,Naan Maharaja,Veg
fd567118,Roomali Roomali,Veg
fd567119,Kadak Roomali,Veg
fd567122,Red Chilli Naan,Veg
fd567134,Stuff Chicken Tangri Kebab 2 Pc,Non-veg
fd567139,Choco Chip Shake (300ml),Veg
fd567140,Chocolate Shake(300ml),Veg
fd567162,Corn Spicy Maggie,Veg
fd567197,7' Extra Cheese Margherita Pizza,Veg
fd567208,Paneer Kasturi Kebab,Veg
fd567210,Paneer Hara Masala Tikka,Veg
fd567211,Paneer Sofiyani Kebab,Veg
fd567214,Veg Mili Juli Kebab,Veg
fd567216,Veg Cheese Mozerela Seekh Kebab,Veg
fd567217,Khumbh Ke Angare,Veg
fd567218,Ashiyana Gobhi,Veg
fd567220,Tilli Milli Baby Corn,Veg
fd567224,Veg Triple Combination,Veg
fd567225,Onion Tomato Fried Rice,Veg
fd567228,Veg Cinese Chopusey,Veg
fd567229,Vegetable Thai Noodles,Veg
fd567230,Veg Schwan Noodles,Veg
fd567235,Tomato & Cheese Soup,Veg
fd567238,Spicy Corn Soup,Veg
fd567247,Tandoori Roti  Butter,Veg
fd567254,Green Peas Rost,Veg
fd567261,Fried Cashewnuts,Veg
fd567267,Veg Mint Raita,Veg
fd567274,Vegetabel Jaipuri,Veg
fd567277,Paneer Banjara Curry,Veg
fd567283,Tawa Microni Paneer Masala,Veg
fd567286,Dal Saras,Veg
fd567287,Paneer Khandesi,Veg
fd567289,Paneer Rajala,Veg
fd567290,Paneer Hara Pila,Veg
fd567291,Paneer Malabari Tadka,Veg
fd567292,Veg Besan,Veg
fd567296,Masala Besan,Veg
fd567297,Patodi Ki Subzi,Veg
fd567299,Nargeshi Kofta,Veg
fd567303,Subzi Bikaneri,Veg
fd567304,Dingari Mutter,Veg
fd567311,Mushroom Salt N Paper,Veg
fd567312,Paneer Garlic Chilly,Veg
fd567315,Paneer Salt N Paper,Veg
fd567320,Veg Drum Sticks,Veg
fd567322,Veg Kurmure,Veg
fd567330,Veg Ball In Hot Garlic,Veg
fd567332,Spinach Mushroom,Veg
fd567333,Baked Spinach And Mushroom,Veg
fd567338,Canned Chilled Juice,Veg
fd567371,Mughali Biryani (Non Veg),Non-veg
fd567387,Murgh Lahsooni Kebab,Non-veg
fd567388,Lajawab Seek Kebab,Non-veg
fd567390,Murgh Tikka Malai,Non-veg
fd567393,Fish Sofiyani Tikka,Non-veg
fd567394,Tandoori Machhli,Non-veg
fd567397,Murg Zafrani Tikka,Non-veg
fd567398,Murg Schezwani Tikka,Non-veg
fd567399,Murg Malwani Kebab,Non-veg
fd567400,Murg Shole Kebab,Non-veg
fd567401,Murg Hara Masala Tikka,Non-veg
fd567403,Murg Sofiyani Tikka,Non-veg
fd567404,Murg Galouti Kebab,Non-veg
fd567405,Murg Karela Kebab,Non-veg
fd567406,Murg Mozrela Seekh Kebab,Non-veg
fd567407,Murg Banjara Tikka,Non-veg
fd567408,Murg Tangari Zafrani,Non-veg
fd567409,Murg Tandoori (Half),Non-veg
fd567410,Murg Tandoori (Full ),Non-veg
fd567411,Murg Tikka Malai,Non-veg
fd567413,Lajawab Seekh Kebab,Non-veg
fd567414,Murg Lahsooni Lebab,Non-veg
fd567415,Reshami Kebab,Non-veg
fd567416,Murg Shenaz,Non-veg
fd567419,Aashina Gobi,Veg
fd567420,Khumb Ke Angare,Veg
fd567422,Assorted Bar-Be-Que Platter(Veg),Veg
fd567425,Paneer Sofiyani Tikka,Veg
fd567435,Prawns Bhuna,Non-veg
fd567440,Eggs Pakora,Non-veg
fd567444,Peanut Nuts Chaat,Veg
fd567446,Chana  Roast,Veg
fd567448,Fried Chana,Veg
fd567449,Sandhar Kebab,Veg
fd567457,Veg Drumsticks,Veg
fd567465,Fried Prawns With Lemon,Non-veg
fd567466,Lemon Prawns,Non-veg
fd567467,Fish Finger with Tater Sauce,Non-veg
fd567474,Baby corn Chilly,Veg
fd567477,Fish Mangolian,Non-veg
fd567478,Prawns Salt-N-Pepper,Non-veg
fd567479,Prawns Hot Pan,Non-veg
fd567481,Fish Hot Pan,Non-veg
fd567483,Mutton Hot Pan,Non-veg
fd567486,Cheese Masala Omelate Roll,Non-veg
fd567487,Paneer Garlic Chiily,Veg
fd567489,Paneer Salt-N-Peper,Veg
fd567491,Baby Corn Mangolian,Veg
fd567493,Mushroom Salt-N-Paper,Veg
fd567496,Chicken Princess,Non-veg
fd567498,Chicken with Cashew Nuts,Non-veg
fd567500,Prawns Hot And Sweet,Non-veg
fd567501,Dry Red Chilli Prawns,Non-veg
fd567503,Chicken Stick Sizzler,Non-veg
fd567504,Chicken Black Pepper With Red Sauce,Non-veg
fd567511,Mix Meat Thai Noodles,Non-veg
fd567512,Chicken Thai Noodles,Non-veg
fd567514,Mix Non Veg Schezwan Noodles,Non-veg
fd567515,Egg Sigapore Noodles,Non-veg
fd567519,Non Veg Tripple Combination,Non-veg
fd567523,Murgh Tikka Zafrani Kaliyan,Non-veg
fd567524,Bawarci Handi Murgh Masaledar,Non-veg
fd567525,Murgh Dama Dam,Non-veg
fd567526,Murgh Khatta Meetha,Non-veg
fd567527,Murgh Tikka Harilyali,Non-veg
fd567528,Boneless Murgh Makhani,Non-veg
fd567530,Boneless Murgh Kolhapuri,Non-veg
fd567532,Waradhi Murgh,Non-veg
fd567539,Murg Curry/Masala,Non-veg
fd567540,Murg Afgani,Non-veg
fd567541,Murg Banarsi,Non-veg
fd567542,Murg Dahi Wala,Non-veg
fd567543,Murg Tawa Karnataka,Non-veg
fd567544,Murg Mozrela Seekh Kebab Masala(Main Course),Non-veg
fd567545,Murg Tadka Balti,Non-veg
fd567546,Chicken Zafrani,Non-veg
fd567547,Murg Nawabi,Non-veg
fd567549,Murg Rajwada,Non-veg
fd567550,Murgh Lahsuni,Non-veg
fd567551,Chicken Banjara Curry,Non-veg
fd567552,Chicken Hawk,Non-veg
fd567553,Chicken Tangri Kebab Masala,Non-veg
fd567554,Gosht Choley,Non-veg
fd567555,Gosht Jhalfrezie,Non-veg
fd567556,Gosht Rampur,Non-veg
fd567558,Mutton Vendaloo,Non-veg
fd567562,Mughlai Gosht,Non-veg
fd567564,Gosht Hara Masala,Non-veg
fd567567,Gosht Matka,Non-veg
fd567569,Machhli Rai Tamatar,Non-veg
fd567572,Fish Banjara Curry,Non-veg
fd567573,Fish Afgani,Non-veg
fd567574,Fish Malwani,Non-veg
fd567576,Gaurani Chicken Bhuna,Non-veg
fd567577,Eggs Do Pyaza,Non-veg
fd567578,Banjara Eggs Curry,Non-veg
fd567579,Royal Egg Roll Curry,Non-veg
fd567580,Gourani Chicken Curry /Masala,Non-veg
fd567581,Paneer Hara Peela,Veg
fd567585,Dhinagri Mattar,Veg
fd567588,Subz Bikaneri,Veg
fd567593,Patodi ki sabji,Veg
fd567598,Vegtable Jaipuri,Veg
fd567617,Mixed Fruits Raita,Veg
fd567619,Dahi Kachumbar,Veg
fd567635,Roasted Plain Papad (2 Nos),Veg
fd567636,Fried Plain Papad (2 Nos),Veg
fd567637,Roasted Masala Papad (Nos),Veg
fd567638,Fried Masala Papad (Nos),Veg
fd567642,Sweet Buttermilk,Veg
fd567646,Sweet Water,Veg
fd567647,Salted Water,Veg
fd567648,Pineaple Canned Chilled Juice,Veg
fd567649,Apple Canned Chilled Juice,Veg
fd567650,Mango Canned Chilled Juice,Veg
fd567651,Tomato Canned Chilled Juice,Veg
fd567652,Areated Water Orange/Cola/Lime/Other,Veg
